CaseID,Weight,AttentionToPolitics,StateOfRegistration,VoteInPrimary,HopefulAboutUS,AfraidAboutUS,OutragedAboutUS,AngryAboutUS,HappyAboutUS,WorriedAboutUS,ProudAboutUS,IrritatedAboutUS,NervousAboutUS,PresApproval,BidenTherm,TrumpTherm,DemPartyTherm,GOPPartyTherm,SCOTUSTherm,RConservatism,BidenConservatism,TrumpConservatism,SCOTUSAbortionUpset,GeerVCTYear,GeerLookup,HowManyChildren,RHHLaborUnion,RFemale,RLatino,RAge,REducation
200404,1.386237775,3,4,1,2,4,4,4,2,4,2,4,4,4,70,0,60,30,50,4,4,7,7,1998,NA,2,0,0,1,41,2
200411,1.299895614,4,15,0,5,3,5,3,5,5,5,3,5,1,0,85,0,0,15,NA,1,3,2,NA,NA,2,0,1,0,52,2
200435,1.12862222,2,NA,0,1,5,5,5,1,5,1,5,5,4,0,0,0,0,0,4,6,6,4,1972,NA,2,0,0,0,45,3
200442,0.353295523,1,16,1,2,4,5,5,1,5,1,5,4,4,85,0,70,15,15,2,3,7,7,NA,NA,0,0,1,0,46,5
200459,0.552887778,2,55,1,3,3,4,4,3,3,2,3,3,1,0,100,0,70,70,6,2,6,4,1940,NA,0,1,0,0,66,4
200466,1.156865734,2,36,0,3,3,3,4,2,4,2,4,4,4,85,0,60,15,60,2,2,7,7,1980,NA,0,0,1,0,60,5
200473,0.700461836,4,48,0,3,3,4,4,3,4,2,3,4,1,0,85,0,85,70,NA,5,5,7,NA,NA,0,0,1,0,73,4
200480,0.823516936,3,17,0,3,1,1,1,3,1,3,1,1,4,60,15,60,40,85,NA,5,5,1,NA,NA,0,0,1,0,71,3
200497,1.172916433,2,39,0,2,5,5,5,2,5,2,5,5,4,40,0,40,10,60,1,3,5,7,2006,NA,0,0,1,0,28,5
200503,0.672292586,1,5,0,1,4,5,5,1,5,1,5,4,4,85,0,85,0,50,1,2,7,7,1958,NA,0,0,1,0,73,5
200510,0.596123637,1,13,1,5,2,2,1,4,1,3,1,1,1,0,100,0,60,70,6,1,5,4,2010,NA,0,0,0,0,NA,4
200527,0.377286737,4,48,0,1,3,3,3,2,3,1,5,4,2,15,70,30,85,50,6,2,5,4,1950,NA,0,0,1,0,37,4
200534,0.519208714,3,42,1,2,5,3,3,1,5,1,3,5,4,80,5,78,NA,55,4,2,6,4,1970,NA,0,0,1,0,56,3
200541,0.689644313,1,35,0,4,1,1,1,4,1,5,1,1,1,0,100,0,15,75,7,1,5,1,NA,NA,0,0,0,0,48,5
200558,0.537704152,1,20,0,4,2,2,2,5,2,4,2,2,1,0,98,10,95,70,7,1,7,4,NA,NA,1,0,1,0,53,4
200565,0.772496025,3,6,0,4,2,5,4,3,3,3,5,4,1,50,85,40,85,50,3,1,4,1,2000,NA,0,0,1,0,72,3
200589,0.359451901,2,29,1,4,1,3,3,4,3,4,3,1,1,0,100,0,100,20,6,1,7,4,1960,NA,2,0,0,0,55,2
200596,1.028905191,1,42,1,2,4,4,4,1,4,1,5,4,4,85,0,85,0,70,2,2,7,6,1942,NA,0,1,0,0,79,3
200602,0.578773242,2,27,1,3,4,4,4,2,3,1,4,3,4,75,0,80,0,60,3,3,5,6,1950,NA,2,0,0,0,38,4
200626,0.343772319,3,6,1,3,3,3,3,2,2,3,2,2,1,15,80,20,100,80,4,4,4,4,1982,NA,0,1,1,0,42,4
200633,0.461516581,1,29,1,2,4,5,5,1,5,1,5,4,4,100,0,70,30,85,6,5,7,7,1891,NA,0,0,0,0,70,5
200640,0.738774447,2,48,1,4,3,1,3,2,3,1,2,3,4,100,15,100,70,50,4,6,5,6,NA,NA,0,0,1,0,50,3
200671,0.294267496,1,51,1,2,5,5,5,1,5,1,5,5,4,100,0,80,0,30,2,3,6,7,1950,NA,NA,0,1,0,50,5
200688,NA,3,NA,1,4,3,2,2,2,3,3,3,2,1,100,85,50,50,-6,4,6,2,5,2009,NA,0,0,1,0,27,1
200695,2.161762221,2,NA,0,3,3,3,5,3,3,3,4,4,1,0,100,0,70,60,NA,4,4,7,1896,1,0,0,0,0,62,2
200701,1.013516207,2,42,1,1,5,4,4,2,4,1,4,4,1,0,85,0,70,100,4,1,6,4,NA,NA,0,0,1,0,51,3
200718,NA,2,4,1,4,3,4,4,2,3,2,4,4,1,30,85,40,70,-6,6,2,5,3,1953,NA,0,0,0,0,60,3
200725,0.287618371,1,13,1,2,4,4,4,1,4,1,4,4,4,75,15,70,45,90,3,2,6,2,1973,NA,0,0,1,0,65,5
200732,0.508819578,1,36,1,3,2,4,3,2,2,2,4,3,4,85,0,70,15,60,3,3,7,7,NA,NA,0,0,0,0,NA,5
200749,1.225599047,3,39,0,2,3,3,3,3,3,3,2,3,4,60,30,40,70,60,4,2,4,4,1980,NA,0,0,0,0,48,2
200756,0.771136737,2,48,1,4,3,4,4,3,4,3,4,3,1,15,85,15,85,60,6,1,6,4,1975,NA,0,0,0,0,55,2
200763,0.790096971,2,NA,0,2,3,3,4,2,4,3,4,4,4,50,30,30,30,85,5,4,5,4,1980,NA,4,0,0,0,54,4
200770,0.873319584,4,30,0,1,5,5,5,1,5,1,5,5,4,40,15,60,30,50,4,1,7,7,1956,NA,0,0,1,0,38,5
200787,0.729207899,1,47,1,1,5,5,5,1,5,1,5,5,4,100,0,70,0,30,2,2,6,7,1990,NA,0,0,0,0,80,5
200794,0.324728865,2,22,0,4,5,5,5,1,5,2,5,5,4,85,0,70,15,30,2,3,2,7,1900,NA,0,1,1,0,37,5
200800,0.306029882,1,34,0,2,4,4,4,1,4,2,4,4,4,40,15,50,30,70,2,4,6,7,1915,NA,3,0,0,0,38,4
200817,0.843580606,1,6,1,1,5,5,5,1,5,1,5,5,4,100,0,0,85,85,4,4,1,4,1968,NA,0,0,0,0,60,3
200824,1.432625906,3,6,0,3,5,4,4,1,5,1,5,4,4,100,0,85,0,50,5,4,1,4,1968,NA,0,1,0,0,46,3
200831,0.95867105,1,6,1,1,5,5,5,1,5,1,5,5,4,15,0,40,0,15,1,6,7,7,1830,NA,0,1,1,0,78,5
200855,0.638810259,1,8,1,2,5,4,5,2,5,2,4,5,4,72,0,70,10,65,2,4,6,6,1980,NA,2,0,1,0,39,5
200862,0.197690915,2,17,1,1,5,5,5,1,5,1,5,5,4,70,0,70,30,40,2,2,6,7,1952,NA,0,0,1,0,33,5
200879,0.37743458,2,6,1,1,4,4,4,1,4,1,3,4,4,100,0,100,0,100,2,2,2,6,1985,NA,0,0,1,0,74,5
200886,0.582886923,3,27,0,1,5,4,5,1,5,1,5,5,4,85,0,70,15,40,3,4,7,6,1959,NA,0,0,1,0,61,3
200893,0.944133628,2,27,0,1,4,4,4,1,4,1,4,4,4,100,0,85,0,100,NA,4,5,7,2000,NA,1,0,1,0,67,3
200909,2.023323061,2,42,0,3,4,4,4,3,4,2,4,3,4,NA,NA,NA,NA,60,NA,3,6,6,1968,NA,0,0,1,0,60,2
200916,0.734328709,2,42,0,4,2,5,5,3,4,3,5,2,1,15,85,0,75,85,6,1,2,6,1999,NA,2,0,0,0,NA,3
200947,1.433134404,4,NA,1,3,3,3,2,3,3,2,3,3,4,40,15,25,15,50,NA,1,7,6,2006,NA,0,0,0,0,21,3
200954,2.087866031,2,36,0,2,5,5,3,2,5,2,4,5,4,100,0,100,0,50,4,1,7,7,2005,NA,1,0,1,0,49,1
200985,0.470174385,1,42,1,3,4,3,2,1,4,1,3,1,4,85,0,100,30,9,2,3,7,7,NA,NA,0,1,0,0,80,5
201001,0.580699339,2,12,0,4,3,3,3,1,3,4,4,3,1,0,70,0,60,85,4,1,6,2,1950,NA,0,0,0,0,70,3
201025,0.457793497,4,48,1,1,5,4,4,1,5,1,4,4,4,100,0,100,0,85,5,1,4,4,NA,NA,0,0,1,0,70,2
201032,0.664700619,1,40,0,3,4,4,4,3,3,3,4,3,4,30,30,15,60,70,5,2,6,2,1974,NA,0,0,0,0,72,4
201063,0.639006461,1,4,1,2,4,5,5,1,4,3,5,4,1,0,100,0,100,85,7,1,7,1,1950,NA,0,0,1,0,78,3
201070,0.355850812,2,10,1,2,3,3,3,1,4,2,5,3,4,70,0,70,0,40,2,2,2,4,1960,NA,3,0,1,0,43,4
201087,0.811818828,2,11,0,2,3,5,5,1,4,2,4,4,4,85,30,70,60,60,NA,5,7,4,1900,NA,2,0,1,0,45,3
201094,0.322034779,2,18,1,1,4,4,4,1,5,1,5,5,4,70,0,70,15,70,3,3,5,4,1990,NA,1,0,1,0,44,4
201100,0.504865159,3,32,0,1,5,5,5,1,5,1,5,5,4,100,0,85,15,60,4,4,7,7,1987,NA,0,0,1,1,50,3
201117,0.878878755,4,12,0,1,4,4,4,1,4,1,4,4,4,85,0,50,50,50,4,4,2,5,2007,NA,2,0,1,0,NA,5
201124,0.680702829,3,54,1,1,5,5,5,1,5,1,5,5,4,85,0,70,0,40,3,3,5,7,1950,NA,0,0,1,0,33,4
201131,1.996450361,4,25,0,3,4,3,4,3,3,5,4,4,1,0,100,0,100,100,NA,1,6,4,1984,NA,0,1,1,0,55,2
201155,1.121862882,4,39,0,3,2,2,2,3,2,2,2,3,2,30,60,15,70,50,5,1,6,5,1994,NA,0,0,1,0,28,4
201179,0.464683829,2,51,0,5,1,1,1,4,1,4,2,1,1,15,85,30,85,85,5,1,5,6,1967,NA,0,0,1,0,34,5
201186,2.000885661,3,36,1,3,5,5,4,1,5,1,5,5,1,0,85,0,100,50,2,2,6,2,1999,NA,0,0,1,0,24,4
201193,0.78260984,1,40,1,5,3,5,5,1,3,2,4,3,1,0,100,0,100,100,7,1,7,2,2001,NA,4,0,1,0,26,3
201209,0.890546998,2,39,1,2,3,3,3,1,4,2,3,3,4,70,0,70,30,50,3,4,7,6,2000,NA,0,0,0,0,75,2
201216,0.776153089,1,15,1,1,4,4,4,1,5,1,4,5,2,30,60,0,60,70,5,2,6,6,1970,NA,0,1,0,0,61,4
201223,0.320850518,2,48,1,3,4,5,5,3,5,3,5,5,1,40,100,15,70,85,6,2,5,6,1995,NA,0,0,1,0,80,5
201230,0.754848257,1,25,1,2,5,5,5,2,5,1,5,5,4,70,0,60,15,30,3,3,7,7,1933,NA,1,0,0,0,58,3
201247,0.372951931,1,13,1,1,5,5,5,1,5,1,5,5,4,100,0,50,0,40,4,4,7,7,2001,NA,0,0,1,1,50,4
201254,0.274679952,1,45,1,1,5,5,5,1,5,1,5,5,4,100,0,85,0,50,3,4,7,7,NA,NA,0,0,1,0,76,4
201261,0.345730697,2,53,1,3,3,4,3,2,3,2,4,3,4,60,30,70,60,70,4,2,4,6,2000,NA,0,0,1,0,80,3
201278,1.11843904,3,42,0,5,2,1,5,1,2,4,2,2,4,100,0,100,0,70,2,4,2,7,1975,NA,2,0,1,0,48,2
201285,1.070298992,4,42,0,4,4,3,4,3,3,4,4,4,4,60,15,60,50,70,3,4,5,7,2019,NA,2,0,1,0,61,2
201292,0.408715465,2,6,1,1,5,5,5,1,5,1,5,5,4,70,0,85,50,85,2,3,7,7,1972,NA,0,1,1,0,45,5
201322,0.771845192,3,16,0,4,3,3,3,1,4,3,4,4,1,NA,85,15,85,50,6,1,6,1,2002,NA,3,0,1,0,37,3
201339,0.610614415,1,18,1,4,3,3,4,2,3,4,4,3,1,0,85,0,60,100,6,1,6,1,1952,NA,3,0,0,0,36,4
201346,1.039831135,3,42,1,1,4,4,4,1,3,1,4,3,4,100,0,85,15,60,2,4,6,7,1970,NA,0,1,1,0,80,1
201353,0.522727913,2,24,1,5,1,1,1,5,1,5,2,1,1,0,100,0,85,85,7,1,7,1,1974,NA,0,0,1,0,66,2
201360,1.268929013,2,25,0,4,1,1,1,5,1,5,5,1,1,NA,85,30,85,60,5,2,5,7,1948,NA,0,0,1,0,80,2
201377,0.33069854,2,20,0,3,1,2,2,3,3,3,3,2,3,40,65,30,50,50,6,2,5,4,1914,NA,0,0,0,0,66,3
201384,2.727739295,1,42,0,1,3,4,4,1,4,1,3,4,4,85,0,70,10,30,4,5,7,7,1990,NA,0,0,1,0,60,3
201391,0.514852096,2,36,1,5,1,3,5,1,1,3,3,5,1,0,100,0,70,70,6,1,5,1,1980,NA,2,1,0,0,34,NA
201407,0.619690257,2,6,1,2,4,4,4,1,3,1,3,3,1,15,100,0,70,70,6,6,6,4,1967,NA,0,0,0,0,80,5
201421,1.400194252,2,17,1,3,3,4,4,2,4,3,4,4,2,40,70,30,60,85,4,2,6,2,1982,NA,0,0,0,0,71,2
201438,0.383403232,1,39,0,3,4,4,4,1,4,2,4,4,1,15,100,0,70,60,6,1,7,4,1960,NA,0,0,0,0,72,3
201445,0.404812258,2,17,0,2,3,2,2,4,4,2,3,1,1,15,70,30,70,50,3,3,6,4,NA,NA,0,0,0,0,57,4
201469,0.539362122,2,25,1,4,2,3,3,3,2,4,3,3,1,50,85,60,100,60,4,3,7,6,2012,NA,2,1,1,1,36,5
201476,1.175466453,2,37,0,1,5,5,4,1,5,1,5,5,4,100,0,85,15,40,4,3,6,7,1900,NA,1,1,1,0,61,3
201506,1.923023162,1,36,1,5,1,3,3,5,3,5,3,3,1,0,100,0,85,85,6,1,6,4,1962,NA,0,1,0,0,58,5
201513,1.89890039,3,42,1,2,1,4,4,1,3,1,4,3,4,60,0,50,50,60,NA,2,1,4,1972,NA,0,0,0,0,30,3
201520,0.528429433,2,4,1,4,1,1,1,4,1,5,1,2,1,0,85,0,70,60,6,1,6,4,2005,NA,0,0,0,0,80,5
201537,1.191402221,1,12,1,4,1,1,1,4,1,5,1,1,1,15,100,15,70,70,6,2,6,1,1888,NA,NA,0,0,0,NA,5
201544,0.741619671,3,8,1,3,3,3,3,2,3,1,4,4,4,NA,NA,NA,50,60,NA,4,7,7,1959,NA,0,1,0,1,72,3
201551,NA,1,1,1,1,1,1,2,1,1,1,1,1,1,100,50,95,100,-6,1,3,1,7,2005,NA,0,0,0,1,38,1
201568,0.43862827,3,26,0,4,4,4,4,1,2,1,4,4,2,15,80,40,60,50,NA,2,6,4,1965,NA,0,0,0,0,60,3
201575,5.296409872,3,NA,0,3,5,4,4,2,5,3,4,4,1,50,70,60,60,50,5,5,3,6,1980,NA,0,0,1,0,52,2
201599,1.137071227,4,47,0,1,3,3,3,1,5,3,4,4,4,60,50,50,30,77,4,5,7,5,1987,NA,2,0,1,0,40,2
201605,1.203708466,2,41,1,1,5,5,5,1,5,1,5,5,4,65,0,85,15,25,2,NA,NA,7,NA,NA,0,1,1,0,23,4
201629,1.901138375,1,55,0,5,3,3,1,5,2,5,2,2,1,0,100,0,85,50,6,2,6,4,1980,NA,0,0,0,0,54,2
201636,0.748041326,2,4,1,1,5,5,5,1,5,1,5,5,4,100,0,85,0,40,3,4,6,7,1970,NA,0,1,1,0,70,5
201650,4.265868967,4,6,0,1,5,5,5,1,5,1,5,5,4,60,0,50,50,0,NA,1,7,6,1952,NA,1,0,1,1,23,3
201674,0.492295796,4,42,0,3,3,3,3,2,3,2,4,4,4,85,0,70,15,50,2,3,7,7,2000,NA,0,1,0,0,66,5
201681,1.330276196,2,29,1,4,3,1,4,3,3,3,4,3,1,20,95,10,75,100,6,1,7,2,1927,NA,0,0,0,0,60,3
201711,0.876758129,1,13,1,2,3,5,5,2,5,1,5,3,1,40,100,0,85,40,6,2,6,2,1963,NA,2,0,1,0,50,4
201728,0.742615801,2,24,1,3,3,5,5,3,4,3,5,3,1,0,90,15,90,85,6,1,6,4,1955,NA,0,0,0,0,62,4
201759,0.552609878,2,41,1,1,5,5,5,1,5,1,5,5,4,60,0,70,0,30,2,5,7,7,1985,NA,0,0,1,0,37,5
201766,0.436711262,2,33,1,3,3,5,5,1,3,3,5,3,1,0,100,0,60,85,6,1,6,4,NA,NA,0,0,1,0,73,2
201773,0.790096971,2,39,0,2,3,4,3,3,1,1,5,4,4,50,0,50,30,95,5,2,7,4,2000,NA,1,0,0,0,52,4
201780,0.652149813,1,17,0,4,4,3,3,4,4,4,4,4,1,0,100,0,100,70,7,1,6,1,1990,NA,0,1,1,0,76,5
201797,0.374722167,2,4,0,1,5,3,3,1,5,1,3,4,4,40,0,30,15,50,5,4,NA,4,NA,NA,0,0,0,0,73,3
201803,0.67498621,4,36,0,1,2,3,2,2,3,3,2,2,4,50,30,50,50,50,3,4,6,7,1982,NA,4,0,1,0,42,4
201810,0.508762223,1,22,0,3,3,3,2,3,4,3,3,4,1,0,100,30,50,50,4,2,6,4,1947,NA,1,0,0,0,67,2
201827,0.257460498,2,27,0,1,3,2,3,2,4,2,3,4,4,85,50,60,40,45,4,2,7,6,NA,NA,0,1,0,0,64,3
201834,0.957991473,2,17,1,4,4,5,5,1,3,1,4,5,1,0,70,30,70,70,NA,4,1,7,1973,NA,0,0,1,0,55,3
201841,1.032360435,4,37,0,2,5,5,5,1,5,2,5,5,4,60,0,60,0,40,2,3,7,7,2002,NA,0,0,1,0,29,5
201858,0.808285918,1,34,0,1,5,5,5,1,5,1,5,5,4,100,0,100,0,86,6,2,4,4,1896,2,1,0,1,0,34,3
201865,0.551194067,3,33,0,1,5,5,5,1,5,1,5,4,4,70,0,65,30,50,4,3,7,4,NA,NA,2,0,1,0,45,5
201872,0.270667888,1,25,1,2,5,5,4,2,5,1,5,5,4,85,0,70,0,30,1,3,6,7,1957,NA,2,0,0,0,40,5
201889,NA,2,NA,0,2,4,4,4,2,4,1,4,3,3,15,70,15,60,-6,4,1,6,1,1954,NA,0,0,0,0,28,3
201896,3.221058953,2,NA,0,1,4,4,4,1,4,1,4,4,4,75,10,70,15,60,4,4,7,6,1985,NA,1,1,0,1,49,3
201902,0.565547189,2,26,1,1,4,4,4,1,4,1,4,4,4,100,0,85,30,60,2,3,7,7,1964,NA,2,1,0,0,37,5
201919,1.037000188,4,5,1,4,2,3,3,3,3,3,3,3,1,40,100,15,85,70,6,2,6,2,1978,NA,0,0,1,0,80,3
201926,NA,5,51,0,1,1,1,1,1,2,1,1,1,4,50,0,100,0,-6,3,2,6,6,NA,NA,1,0,1,0,55,2
201971,0.975931545,2,37,0,3,2,4,5,3,2,3,4,2,1,40,NA,30,100,70,3,4,4,5,1988,NA,0,0,1,0,80,1
201988,NA,2,37,1,3,1,1,2,1,1,1,2,1,4,85,0,70,50,-6,NA,4,6,4,NA,NA,0,0,1,0,63,4
201995,0.537850393,2,45,1,3,2,4,4,2,3,1,4,4,2,30,70,30,60,80,6,1,7,1,1964,NA,0,0,1,0,66,3
202004,1.132606084,3,12,0,3,2,2,2,3,2,3,2,2,2,50,60,60,70,60,5,4,4,4,1972,NA,0,0,0,0,55,4
202011,1.810089988,2,17,0,1,4,4,4,1,5,1,5,4,2,0,90,0,60,50,6,2,6,2,1990,NA,0,0,0,0,65,3
202042,0.357897506,1,47,0,1,3,4,4,2,4,1,4,5,4,85,0,85,15,60,2,3,7,7,NA,NA,0,0,1,0,69,5
202097,1.535520464,2,22,0,3,3,3,3,3,4,3,3,3,1,50,85,15,85,60,7,2,6,1,2000,NA,0,0,1,0,70,2
202103,1.685426376,2,NA,0,3,3,2,2,3,2,3,2,2,1,0,100,0,85,70,NA,1,4,4,1896,2,0,0,0,0,64,2
202127,1.765888936,2,21,1,1,1,3,4,1,1,1,5,1,1,0,100,0,100,60,7,1,6,2,2005,NA,0,1,0,0,62,2
202141,1.231872445,2,36,1,4,4,4,4,3,4,5,4,4,1,0,85,30,70,85,6,2,6,2,1986,NA,4,0,0,0,50,5
202172,1.502356366,3,20,0,3,5,5,4,4,4,1,5,5,4,NA,30,85,30,70,NA,2,6,5,1989,NA,1,0,1,0,46,2
202189,0.986715216,2,37,1,2,5,5,5,1,5,1,5,5,4,100,0,85,0,70,2,3,5,7,NA,NA,0,0,1,0,67,NA
202196,NA,1,37,1,1,5,5,4,1,4,1,5,5,4,90,0,75,0,-6,2,3,4,7,1942,NA,0,0,1,0,43,3
202202,0.353361231,1,4,0,4,2,4,4,2,3,2,5,4,4,60,0,60,0,40,2,3,7,7,1984,NA,0,0,0,0,30,4
202257,1.140001095,2,29,1,3,3,3,4,3,3,3,3,3,1,0,90,20,80,70,6,2,6,4,NA,NA,0,0,0,0,80,2
202271,0.50628777,1,21,0,1,5,5,4,2,5,1,5,5,4,100,20,100,15,40,4,3,5,7,1954,NA,0,0,1,0,58,2
202288,1.178011936,4,51,0,2,4,3,4,2,4,2,4,3,2,0,70,0,48,30,4,1,6,4,NA,NA,0,0,0,0,29,3
202301,0.466621028,4,29,1,1,4,4,4,1,4,1,4,4,4,85,0,85,15,50,4,4,4,4,1950,NA,0,0,0,0,71,3
202318,0.491661727,2,23,0,3,2,3,3,3,3,3,3,3,2,30,60,20,85,65,6,2,5,4,NA,NA,0,0,0,0,69,5
202325,0.278813102,2,6,1,1,5,5,5,1,5,1,5,5,4,85,0,85,0,30,2,3,7,7,2000,NA,0,0,0,0,80,5
202332,0.314765123,2,25,1,2,2,3,4,1,4,1,4,3,4,70,0,60,15,50,2,3,6,6,1910,NA,0,1,0,0,28,5
202356,2.129745638,4,48,0,2,5,4,3,2,4,2,4,4,4,85,0,70,30,50,NA,3,6,6,1985,NA,0,0,1,1,22,4
202363,0.442495229,1,17,1,2,3,5,5,2,4,1,5,5,4,85,0,75,25,75,2,3,7,7,NA,NA,0,1,1,0,72,5
202370,0.981614122,1,4,1,2,3,5,3,1,4,2,3,4,4,60,0,60,30,70,4,3,NA,7,1920,NA,0,0,0,0,63,4
202387,NA,2,47,1,2,4,1,3,1,3,1,4,4,4,70,15,40,40,-6,4,2,6,6,1900,NA,0,0,1,0,64,4
202400,0.502309025,1,39,0,1,5,5,5,1,5,1,5,5,4,85,0,70,0,60,1,4,NA,7,NA,NA,0,0,1,0,61,3
202417,0.878735794,1,21,1,4,1,1,1,4,1,5,1,1,1,NA,NA,15,70,70,NA,4,6,2,2001,NA,0,0,0,1,60,2
202431,1.44631216,3,1,0,3,3,2,2,3,3,2,2,3,1,15,NA,0,85,60,6,1,6,2,1980,NA,0,0,0,0,48,2
202455,0.251355974,3,34,1,4,4,4,3,3,4,1,4,3,1,15,85,15,70,100,6,1,6,7,NA,NA,0,0,1,0,69,5
202462,0.428584586,1,34,1,3,4,3,3,1,4,1,4,4,1,0,100,0,100,100,4,2,6,4,NA,NA,0,1,1,0,80,5
202479,0.659266839,4,48,1,2,2,4,2,2,4,2,4,2,1,30,85,15,86,70,6,1,5,1,1990,NA,0,0,1,0,77,3
202486,0.419468267,2,24,1,1,4,4,4,1,5,1,5,4,4,70,0,60,15,40,4,4,5,7,2000,NA,1,0,1,0,48,4
202493,0.57143848,2,39,1,3,5,4,5,1,5,2,5,5,4,85,0,85,60,70,3,4,6,4,1972,NA,1,0,1,0,47,3
202509,NA,3,NA,0,1,1,1,1,1,1,1,5,5,4,85,0,0,0,-6,NA,4,7,4,1912,NA,2,0,0,0,43,2
202516,1.451569971,3,42,1,1,4,5,4,1,4,1,4,4,4,70,0,85,50,70,NA,2,6,6,1978,NA,0,1,1,1,71,2
202523,1.200815368,2,NA,0,2,5,4,5,1,4,1,4,4,4,50,0,30,0,20,3,6,7,4,NA,NA,0,0,0,1,31,2
202530,0.645223343,1,6,1,1,5,5,5,1,5,1,5,5,4,100,0,100,0,70,2,2,7,7,1994,NA,0,0,1,0,78,5
